city,latitude,longitude,timestamp,timezone,timezone_offset,datetime,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,clouds,uvi,visibility,wind_speed,wind_gust,wind_deg,weather_id,weather_name,weather_description,rain_1h,snow_1h
Los Angeles,34.0522,-118.2437,1750870800,America/Los_Angeles,-25200,1750870800,1750855386,1750907288,296.11,296.37,1016,73,291.01,23,,,2.44,1.67,219,801,Clouds,few clouds,0.0,0
Los Angeles,34.0522,-118.2437,1750892400,America/Los_Angeles,-25200,1750892400,1750855386,1750907288,297.72,297.8,1013,60,289.45,28,,,0.89,3.58,161,802,Clouds,scattered clouds,0.0,0
Phoenix,33.4484,-112.074,1751346000,America/Phoenix,-25200,1751346000,1751286106,1751337721,312.77,310.71,1003,15,281.32,20,0.0,10000.0,4.12,,260,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1751367600,America/Phoenix,-25200,1751367600,1751372530,1751424118,307.51,306.25,1007,26,285.25,75,0.0,6437.0,8.05,9.83,110,761,Dust,dust,0.0,0
Phoenix,33.4484,-112.074,1751389200,America/Phoenix,-25200,1751389200,1751372530,1751424118,311.63,310.94,1008,22,286.14,0,6.86,10000.0,6.69,,120,761,Dust,dust,0.0,0
Phoenix,33.4484,-112.074,1751410800,America/Phoenix,-25200,1751410800,1751372530,1751424118,316.57,315.88,1003,16,285.28,20,4.08,10000.0,4.12,9.26,120,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1751259600,America/Phoenix,-25200,1751259600,1751199683,1751251322,311.68,309.46,1004,15,280.46,0,0.0,10000.0,4.63,,260,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1751281200,America/Phoenix,-25200,1751281200,1751286106,1751337721,305.39,303.55,1005,23,281.64,75,0.0,10000.0,0.45,1.34,114,803,Clouds,broken clouds,0.0,0
Phoenix,33.4484,-112.074,1751302800,America/Phoenix,-25200,1751302800,1751286106,1751337721,312.87,311.06,1006,16,282.35,20,6.71,10000.0,2.57,,0,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1751324400,America/Phoenix,-25200,1751324400,1751286106,1751337721,319.59,316.84,1002,10,280.59,20,4.24,10000.0,4.12,7.72,210,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1751173200,America/Phoenix,-25200,1751173200,1751113261,1751164921,310.37,308.46,1007,18,282.1,0,0.0,10000.0,7.2,,290,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1751194800,America/Phoenix,-25200,1751194800,1751199683,1751251322,303.92,302.16,1008,23,280.42,2,0.0,10000.0,0.89,1.34,231,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1751216400,America/Phoenix,-25200,1751216400,1751199683,1751251322,311.87,309.5,1010,14,279.61,20,6.33,10000.0,3.09,,280,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1751238000,America/Phoenix,-25200,1751238000,1751199683,1751251322,318.05,315.59,1004,11,280.83,20,4.25,10000.0,8.75,11.83,290,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1751086800,America/Phoenix,-25200,1751086800,1751026840,1751078519,308.81,306.81,1008,19,281.64,0,0.0,10000.0,0.89,1.34,205,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1751108400,America/Phoenix,-25200,1751108400,1751113261,1751164921,303.23,302.05,1010,31,284.26,0,0.0,10000.0,3.09,,280,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1751130000,America/Phoenix,-25200,1751130000,1751113261,1751164921,310.04,308.78,1012,22,284.83,0,7.28,10000.0,4.63,,330,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1751151600,America/Phoenix,-25200,1751151600,1751113261,1751164921,315.69,313.61,1008,13,281.49,20,4.45,10000.0,6.17,,250,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1751000400,America/Phoenix,-25200,1751000400,1750940420,1750992115,307.18,304.79,1008,15,276.91,0,0.0,10000.0,2.57,,240,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1751022000,America/Phoenix,-25200,1751022000,1751026840,1751078519,303.11,301.33,1007,19,277.0,0,0.0,10000.0,2.57,,360,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1751043600,America/Phoenix,-25200,1751043600,1751026840,1751078519,308.75,306.32,1012,15,278.15,20,7.05,10000.0,1.79,1.79,83,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1751065200,America/Phoenix,-25200,1751065200,1751026840,1751078519,314.89,312.13,1008,11,278.45,20,4.37,10000.0,5.14,9.26,290,801,Clouds,few clouds,0.0,0
Phoenix,33.4484,-112.074,1750914000,America/Phoenix,-25200,1750914000,1750854002,1750905710,306.29,303.88,1010,12,273.11,0,,10000.0,0.0,,0,800,Clear,clear sky,0.0,0
Phoenix,33.4484,-112.074,1750935600,America/Phoenix,-25200,1750935600,1750940420,1750992115,300.31,299.31,1010,19,274.71,0,,,1.34,1.79,194,800,Clear,clear sky,0.0,0
